D_REG,BRAND,MODEL,MAKE_YEAR,COLOR,FUEL
03.02.2021,SKODA,OCTAVIA A5,2012,БЕЖЕВИЙ,БЕНЗИН
25.02.2021,SKODA,YETI,2012,КОРИЧНЕВИЙ,БЕНЗИН
02.03.2021,SKODA,OCTAVIA A5,2012,ЧОРНИЙ,ДИЗЕЛЬНЕ ПАЛИВО
30.03.2021,SKODA,OCTAVIA A5,2012,БІЛИЙ,БЕНЗИН АБО ГАЗ
26.01.2021,SKODA,SUPERB,2012,СІРИЙ,БЕНЗИН
22.01.2021,SKODA,OCTAVIA A5,2012,БЕЖЕВИЙ,ДИЗЕЛЬНЕ ПАЛИВО
13.03.2021,SKODA,FABIA,2012,БІЛИЙ,БЕНЗИН АБО ГАЗ
18.02.2021,SKODA,OCTAVIA A5,2012,ЧОРНИЙ,БЕНЗИН
05.01.2021,SKODA,OCTAVIA A5,2012,СІРИЙ,БЕНЗИН
20.01.2021,SKODA,OCTAVIA A5,2012,СІРИЙ,ДИЗЕЛЬНЕ ПАЛИВО
21.01.2021,SKODA,OCTAVIA A5,2012,ЗЕЛЕНИЙ,БЕНЗИН АБО ГАЗ
02.02.2021,SKODA,OCTAVIA A5,2012,ЧОРНИЙ,БЕНЗИН АБО ГАЗ
26.03.2021,SKODA,FABIA,2012,ЗЕЛЕНИЙ,БЕНЗИН
30.03.2021,SKODA,OCTAVIA A5,2012,СІРИЙ,БЕНЗИН АБО ГАЗ
27.03.2021,SKODA,OCTAVIA A5,2012,СІРИЙ,БЕНЗИН АБО ГАЗ
20.03.2021,SKODA,OCTAVIA A5,2012,СІРИЙ,БЕНЗИН
02.02.2021,SKODA,FABIA,2012,БІЛИЙ,БЕНЗИН
18.02.2021,SKODA,SUPERB,2012,СІРИЙ,БЕНЗИН
20.01.2021,SKODA,OCTAVIA A5,2012,ЧОРНИЙ,БЕНЗИН
30.03.2021,SKODA,SUPERB,2012,ЧОРНИЙ,БЕНЗИН
23.01.2021,SKODA,OCTAVIA A5,2012,БІЛИЙ,БЕНЗИН
24.02.2021,SKODA,OCTAVIA A5,2012,СІРИЙ,ДИЗЕЛЬНЕ ПАЛИВО
03.02.2021,SKODA,OCTAVIA A5,2012,СІРИЙ,БЕНЗИН
17.03.2021,SKODA,YETI,2012,БЕЖЕВИЙ,БЕНЗИН
30.01.2021,SKODA,OCTAVIA A5,2012,БЕЖЕВИЙ,БЕНЗИН АБО ГАЗ
17.02.2021,SKODA,OCTAVIA A5,2012,БІЛИЙ,БЕНЗИН
03.03.2021,SKODA,OCTAVIA A5,2012,СІРИЙ,БЕНЗИН АБО ГАЗ
14.01.2021,SKODA,FABIA,2012,БІЛИЙ,БЕНЗИН
23.03.2021,SKODA,SUPERB,2012,ЧОРНИЙ,БЕНЗИН
20.03.2021,SKODA,OCTAVIA A5,2012,БІЛИЙ,ДИЗЕЛЬНЕ ПАЛИВО
16.03.2021,SKODA,FABIA,2012,БЕЖЕВИЙ,БЕНЗИН АБО ГАЗ
26.02.2021,SKODA,OCTAVIA A5,2012,БІЛИЙ,БЕНЗИН
11.02.2021,SKODA,OCTAVIA A5,2012,БІЛИЙ,БЕНЗИН
20.02.2021,SKODA,FABIA,2012,БІЛИЙ,БЕНЗИН АБО ГАЗ
13.02.2021,SKODA,SUPERB,2012,БІЛИЙ,ДИЗЕЛЬНЕ ПАЛИВО
27.02.2021,SKODA,SUPERB,2012,БІЛИЙ,ДИЗЕЛЬНЕ ПАЛИВО
10.03.2021,SKODA,FABIA,2012,СІРИЙ,БЕНЗИН
16.03.2021,SKODA,FABIA,2012,БЕЖЕВИЙ,БЕНЗИН
06.01.2021,SKODA,OCTAVIA A5,2012,ЧОРНИЙ,ДИЗЕЛЬНЕ ПАЛИВО
06.01.2021,SKODA,FABIA,2012,СИНІЙ,БЕНЗИН
16.01.2021,SKODA,OCTAVIA A5,2012,СІРИЙ,ДИЗЕЛЬНЕ ПАЛИВО
24.03.2021,SKODA,FABIA,2012,ЧЕРВОНИЙ,БЕНЗИН
18.02.2021,SKODA,FABIA,2012,БІЛИЙ,БЕНЗИН
12.02.2021,SKODA,SUPERB,2012,ЧОРНИЙ,БЕНЗИН АБО ГАЗ
04.01.2021,SKODA,SUPERB,2012,ЧОРНИЙ,БЕНЗИН АБО ГАЗ
26.02.2021,SKODA,OCTAVIA A5,2012,ЧОРНИЙ,БЕНЗИН
20.02.2021,SKODA,SUPERB,2012,КОРИЧНЕВИЙ,БЕНЗИН
21.01.2021,SKODA,SUPERB,2012,КОРИЧНЕВИЙ,БЕНЗИН
09.01.2021,SKODA,OCTAVIA,2012,ЗЕЛЕНИЙ,БЕНЗИН
24.03.2021,SKODA,FABIA,2012,СІРИЙ,БЕНЗИН АБО ГАЗ
25.02.2021,SKODA,FABIA,2012,БІЛИЙ,БЕНЗИН
13.01.2021,SKODA,OCTAVIA A5,2012,ЧОРНИЙ,БЕНЗИН
05.02.2021,SKODA,OCTAVIA A5,2012,БІЛИЙ,БЕНЗИН
22.01.2021,SKODA,SUPERB,2012,СІРИЙ,БЕНЗИН АБО ГАЗ
13.03.2021,SKODA,SUPERB,2012,КОРИЧНЕВИЙ,БЕНЗИН
20.03.2021,SKODA,OCTAVIA A5,2012,ЧОРНИЙ,БЕНЗИН
09.02.2021,SKODA,OCTAVIA A5,2012,БІЛИЙ,БЕНЗИН АБО ГАЗ
21.01.2021,SKODA,FABIA,2012,СІРИЙ,БЕНЗИН АБО ГАЗ
13.02.2021,SKODA,FABIA,2012,БІЛИЙ,БЕНЗИН АБО ГАЗ
06.01.2021,SKODA,FABIA,2012,БІЛИЙ,БЕНЗИН
26.02.2021,SKODA,OCTAVIA A5,2012,БІЛИЙ,БЕНЗИН АБО ГАЗ
06.01.2021,SKODA,SUPERB,2012,КОРИЧНЕВИЙ,БЕНЗИН
10.03.2021,SKODA,OCTAVIA A5,2012,СІРИЙ,ДИЗЕЛЬНЕ ПАЛИВО
10.03.2021,SKODA,OCTAVIA A5,2012,ЧОРНИЙ,БЕНЗИН
18.03.2021,SKODA,OCTAVIA A5,2012,ЗЕЛЕНИЙ,БЕНЗИН
