D_REG,BRAND,MODEL,MAKE_YEAR,COLOR,FUEL,N_REG_NEW
03.02.2021,SKODA,OCTAVIA A5,2012,БЕЖЕВИЙ,БЕНЗИН,ВІ9541ЕХ
25.02.2021,SKODA,YETI,2012,КОРИЧНЕВИЙ,БЕНЗИН,КА1208СР
02.03.2021,SKODA,OCTAVIA A5,2012,ЧОРНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,СА8200ІВ
30.03.2021,SKODA,OCTAVIA A5,2012,БІЛИЙ,БЕНЗИН АБО ГАЗ,ВХ4462ЕО
26.01.2021,SKODA,SUPERB,2012,СІРИЙ,БЕНЗИН,ВХ9212ВН
22.01.2021,SKODA,OCTAVIA A5,2012,БЕЖЕВИЙ,ДИЗЕЛЬНЕ ПАЛИВО,ВІ7607ЕХ
13.03.2021,SKODA,FABIA,2012,БІЛИЙ,БЕНЗИН АБО ГАЗ,АІ2526КР
18.02.2021,SKODA,OCTAVIA A5,2012,ЧОРНИЙ,БЕНЗИН,АЕ8259ОХ
05.01.2021,SKODA,OCTAVIA A5,2012,СІРИЙ,БЕНЗИН,ВХ0260ЕМ
20.01.2021,SKODA,OCTAVIA A5,2012,СІРИЙ,ДИЗЕЛЬНЕ ПАЛИВО,ВТ7606СМ
21.01.2021,SKODA,OCTAVIA A5,2012,ЗЕЛЕНИЙ,БЕНЗИН АБО ГАЗ,ВС8391ЕХ
02.02.2021,SKODA,OCTAVIA A5,2012,ЧОРНИЙ,БЕНЗИН АБО ГАЗ,АВ3283ІА
26.03.2021,SKODA,FABIA,2012,ЗЕЛЕНИЙ,БЕНЗИН,КА1158ВХ
30.03.2021,SKODA,OCTAVIA A5,2012,СІРИЙ,БЕНЗИН АБО ГАЗ,ВХ3747ЕО
27.03.2021,SKODA,OCTAVIA A5,2012,СІРИЙ,БЕНЗИН АБО ГАЗ,АВ1428НО
20.03.2021,SKODA,OCTAVIA A5,2012,СІРИЙ,БЕНЗИН,АХ4986КС
02.02.2021,SKODA,FABIA,2012,БІЛИЙ,БЕНЗИН,АІ6980ЕА
18.02.2021,SKODA,SUPERB,2012,СІРИЙ,БЕНЗИН,ВА7328ЕК
20.01.2021,SKODA,OCTAVIA A5,2012,ЧОРНИЙ,БЕНЗИН,СА3369ІЕ
30.03.2021,SKODA,SUPERB,2012,ЧОРНИЙ,БЕНЗИН,АХ3333ОІ
23.01.2021,SKODA,OCTAVIA A5,2012,БІЛИЙ,БЕНЗИН,КА6775ВТ
24.02.2021,SKODA,OCTAVIA A5,2012,СІРИЙ,ДИЗЕЛЬНЕ ПАЛИВО,АЕ7180ОР
03.02.2021,SKODA,OCTAVIA A5,2012,СІРИЙ,БЕНЗИН,АР0578ІВ
17.03.2021,SKODA,YETI,2012,БЕЖЕВИЙ,БЕНЗИН,ВН8652ОК
30.01.2021,SKODA,OCTAVIA A5,2012,БЕЖЕВИЙ,БЕНЗИН АБО ГАЗ,ВВ8023ЕТ
17.02.2021,SKODA,OCTAVIA A5,2012,БІЛИЙ,БЕНЗИН,ВЕ9363ЕІ
03.03.2021,SKODA,OCTAVIA A5,2012,СІРИЙ,БЕНЗИН АБО ГАЗ,ВЕ5197ЕІ
14.01.2021,SKODA,FABIA,2012,БІЛИЙ,БЕНЗИН,КА9880ВТ
23.03.2021,SKODA,SUPERB,2012,ЧОРНИЙ,БЕНЗИН,АЕ4048ОХ
20.03.2021,SKODA,OCTAVIA A5,2012,БІЛИЙ,ДИЗЕЛЬНЕ ПАЛИВО,СА7077ВВ
16.03.2021,SKODA,FABIA,2012,БЕЖЕВИЙ,БЕНЗИН АБО ГАЗ,КА7971ВА
